problem,submission_id,location,type
gigel-si-raspandirea-vestilor,1323445123,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1323445123.cpp,source_file
gigel-si-raspandirea-vestilor,1344604009,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1344604009.cpp,source_file
gigel-si-raspandirea-vestilor,1344604009,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1344604009.cpp,source_file
gigel-si-raspandirea-vestilor,1314236643,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314236643.java,source_file
gigel-si-raspandirea-vestilor,1314236643,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314236643.java,source_file
gigel-si-raspandirea-vestilor,1344623137,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1344623137.cpp,source_file
gigel-si-raspandirea-vestilor,1344623137,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1344623137.cpp,source_file
gigel-si-raspandirea-vestilor,1408570962,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1408570962.cpp,source_file
gigel-si-raspandirea-vestilor,1408570962,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1408570962.cpp,source_file
gigel-si-raspandirea-vestilor,1314235804,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314235804.java,source_file
gigel-si-raspandirea-vestilor,1314235804,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314235804.java,source_file
gigel-si-raspandirea-vestilor,1408504524,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1408504524.cpp,source_file
gigel-si-raspandirea-vestilor,1408504524,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1408504524.cpp,source_file
gigel-si-raspandirea-vestilor,1314235420,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314235420.java,source_file
gigel-si-raspandirea-vestilor,1314235420,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314235420.java,source_file
